Bitcoin,BTC,"$42,071.16","$25,099,180,514",-0.08%,5.41%,-0.04%
Ethereum,ETH,"$2,257.18","$10,187,998,737",-0.22%,1.75%,-9.56%
Tether USDt,USDT,$0.9998,"$40,816,841,977",0.00%,0.03%,0.04%
BNB,BNB,$302.32,"$980,394,546",-0.12%,3.72%,-3.58%
Solana,SOL,$93.44,"$1,962,358,065",0.58%,6.87%,-0.93%
XRP,XRP,$0.5334,"$998,369,510",0.26%,3.99%,-2.56%
USDC,USDC,$1.00,"$5,386,120,196",-0.01%,-0.02%,-0.02%
Cardano,ADA,$0.4853,"$354,491,141",0.10%,4.00%,-2.90%
Avalanche,AVAX,$32.91,"$523,180,530",0.75%,8.28%,-0.41%
Dogecoin,DOGE,$0.08022,"$272,883,117",0.40%,2.73%,2.11%
TRON,TRX,$0.1148,"$285,324,299",-0.08%,3.45%,4.70%
Polkadot,DOT,$6.72,"$183,704,195",0.54%,4.50%,-2.52%
Chainlink,LINK,$14.19,"$347,297,261",0.28%,3.00%,-8.82%
Polygon,MATIC,$0.7595,"$244,836,023",0.16%,4.01%,-0.26%
Toncoin,TON,$2.08,"$26,630,510",-0.48%,1.70%,-6.64%
Internet Computer,ICP,$12.32,"$158,168,969",0.98%,11.34%,9.40%
Dai,DAI,$1.00,"$248,771,601",0.00%,-0.01%,<0.01%
Shiba Inu,SHIB,$0.000009059,"$86,819,878",-0.20%,2.21%,-2.00%
Litecoin,LTC,$67.32,"$246,525,350",-0.03%,2.55%,-4.59%
Bitcoin Cash,BCH,$242.21,"$162,222,678",0.15%,2.17%,2.34%
